RedFighter,BlueFighter,Date,RedHeight,RedWeight,RedReach,RedStance,RedDOB,RedSLpM,RedStr. Acc.,RedSApM,RedStr. Def.,RedTD Avg.,RedTD Acc.,RedTD Def.,RedSub. Avg.,RedWins,RedLosses,RedDraws,RedNoContests,BlueHeight,BlueWeight,BlueReach,BlueStance,BlueDOB,BlueSLpM,BlueStr. Acc.,BlueSApM,BlueStr. Def.,BlueTD Avg.,BlueTD Acc.,BlueTD Def.,BlueSub. Avg.,BlueWins,BlueLosses,BlueDraws,BlueNoContests,Result
Josh Neer,Justin Edwards,1349395200.0,71.0,170.0,72.0,Orthodox,417312000.0,3.29,46.0,3.63,58.0,1.09,34.0,46.0,1.3,36,16,1,0,70.0,155.0,70.0,Orthodox,412387200.0,2.68,42.0,3.32,51.0,2.14,26.0,27.0,1.0,9,5,0,0,L
Michael Johnson,Danny Castillo,1349395200.0,70.0,155.0,73.0,Southpaw,518227200.0,4.23,39.0,3.8,58.0,0.61,40.0,81.0,0.0,24,19,0,0,69.0,155.0,71.0,Orthodox,304387200.0,2.57,42.0,1.96,62.0,2.95,38.0,63.0,0.2,17,10,0,0,W
Aaron Simpson,Mike Pierce,1349395200.0,72.0,170.0,73.0,Orthodox,143510400.0,3.6,52.0,2.53,56.0,3.78,34.0,83.0,0.5,12,5,0,0,68.0,170.0,71.0,Orthodox,336614400.0,2.62,42.0,2.36,62.0,3.08,42.0,71.0,0.2,17,7,0,0,L
Marcus LeVesseur,Carlo Prater,1349395200.0,69.0,155.0,70.0,Southpaw,395712000.0,2.55,64.0,3.7,37.0,3.89,36.0,83.0,0.6,22,7,0,0,71.0,155.0,72.0,Switch,362275200.0,2.03,47.0,4.07,35.0,0.43,9.0,57.0,1.7,31,18,1,0,W
Jacob Volkmann,Shane Roller,1349395200.0,69.0,155.0,71.0,Southpaw,336960000.0,1.19,34.0,1.78,52.0,3.19,48.0,52.0,2.0,19,7,0,0,70.0,155.0,72.0,Orthodox,300758400.0,2.04,34.0,2.65,60.0,2.46,33.0,42.0,1.9,11,7,0,0,W
Bart Palaszewski,Diego Nunes,1349395200.0,69.0,145.0,70.0,Orthodox,423100800.0,2.67,32.0,3.97,57.0,0.65,31.0,53.0,0.5,36,17,0,0,66.0,145.0,67.0,Orthodox,407462400.0,2.72,43.0,2.59,58.0,1.18,44.0,65.0,0.6,19,7,0,0,L
Darren Uyenoyama,Phil Harris,1349395200.0,66.0,125.0,65.0,Orthodox,308793600.0,1.34,39.0,2.21,66.0,1.42,33.0,35.0,0.7,10,6,0,0,64.0,125.0,65.0,Orthodox,431481600.0,2.34,26.0,3.16,68.0,1.76,21.0,60.0,0.0,22,12,0,2,W
Stefan Struve,Stipe Miocic,1348876800.0,83.0,265.0,84.0,Orthodox,572140800.0,3.12,47.0,4.04,46.0,0.56,46.0,55.0,1.7,33,13,0,0,76.0,240.0,80.0,Orthodox,398563200.0,4.67,52.0,4.01,52.0,1.74,34.0,65.0,0.0,20,5,0,0,W
Dan Hardy,Amir Sadollah,1348876800.0,72.0,170.0,74.0,Orthodox,390441600.0,2.46,35.0,3.44,51.0,0.73,35.0,35.0,0.4,25,10,0,1,70.0,170.0,75.0,Orthodox,336182400.0,4.71,46.0,3.55,60.0,0.57,27.0,60.0,0.3,6,5,0,0,W
Brad Pickett,Yves Jabouin,1348876800.0,66.0,135.0,68.0,Orthodox,275443200.0,3.02,31.0,4.63,55.0,2.47,44.0,58.0,0.4,25,14,0,0,67.0,135.0,68.0,Orthodox,296870400.0,3.06,41.0,2.93,62.0,1.94,60.0,82.0,0.1,20,11,0,0,W
Paul Sass,Matt Wiman,1348876800.0,72.0,155.0,73.0,Orthodox,586656000.0,0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,14,2,0,0,70.0,155.0,68.0,Orthodox,432777600.0,3.17,50.0,3.57,51.0,2.13,37.0,56.0,1.5,16,10,0,0,L
John Hathaway,John Maguire,1348876800.0,73.0,170.0,75.0,Orthodox,553996800.0,3.4,40.0,1.8,62.0,2.61,43.0,60.0,0.9,17,2,0,0,69.0,155.0,69.0,Southpaw,422150400.0,1.41,41.0,2.44,65.0,2.8,46.0,77.0,1.1,24,9,0,0,W
Che Mills,Duane Ludwig,1348876800.0,73.0,170.0,76.0,Orthodox,402105600.0,2.08,52.0,2.87,43.0,1.18,66.0,58.0,0.0,16,10,0,3,70.0,170.0,70.0,Orthodox,271036800.0,4.62,44.0,3.05,57.0,0.43,25.0,59.0,0.1,21,14,0,0,W
Kyle Kingsbury,Jimi Manuwa,1348876800.0,76.0,205.0,79.0,Orthodox,385603200.0,2.97,40.0,3.81,51.0,2.64,41.0,52.0,0.0,11,6,0,1,73.0,205.0,79.0,Orthodox,319680000.0,3.43,54.0,3.97,49.0,0.53,18.0,70.0,0.4,17,6,0,0,L
Andy Ogle,Akira Corassani,1348876800.0,68.0,145.0,69.0,Orthodox,603590400.0,2.24,44.0,2.23,50.0,1.44,26.0,58.0,0.0,9,6,0,0,68.0,145.0,68.0,Orthodox,399254400.0,3.25,45.0,4.91,50.0,0.7,28.0,86.0,0.0,12,6,0,1,L
Tom Watson,Brad Tavares,1348876800.0,73.0,185.0,73.0,Orthodox,395366400.0,4.01,44.0,4.41,50.0,0.15,7.0,43.0,0.0,17,9,0,0,73.0,185.0,74.0,Orthodox,567043200.0,3.43,43.0,3.31,55.0,0.74,26.0,80.0,0.0,20,11,0,0,L
DaMarques Johnson,Gunnar Nelson,1348876800.0,73.0,170.0,75.0,Orthodox,394070400.0,2.11,37.0,3.75,51.0,1.18,55.0,19.0,0.7,15,15,0,0,71.0,170.0,72.0,Switch,586051200.0,1.84,61.0,3.0,49.0,1.9,59.0,66.0,1.0,19,5,1,0,L
Jason Young,Robert Peralta,1348876800.0,69.0,145.0,73.0,Orthodox,520300800.0,2.97,37.0,3.2,50.0,1.98,66.0,55.0,0.0,9,6,0,0,68.0,145.0,71.0,Orthodox,511142400.0,3.76,44.0,2.97,53.0,0.59,66.0,65.0,0.0,18,8,0,1,L
Joseph Benavidez,Demetrious Johnson,1348272000.0,64.0,125.0,65.0,Southpaw,460080000.0,3.52,34.0,2.67,61.0,1.41,30.0,62.0,0.6,28,8,0,0,63.0,125.0,66.0,Orthodox,524275200.0,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,27,3,1,0,L
Michael Bisping,Brian Stann,1348272000.0,73.0,185.0,75.0,Orthodox,289008000.0,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,30,9,0,0,73.0,205.0,74.0,Orthodox,338601600.0,3.28,42.0,2.65,59.0,0.12,12.0,60.0,0.3,12,6,0,0,W
Matt Hamill,Roger Hollett,1348272000.0,73.0,205.0,76.0,Orthodox,213321600.0,3.69,42.0,3.8,61.0,3.0,34.0,91.0,0.0,12,8,0,0,71.0,205.0,nan,Orthodox,276652800.0,1.83,47.0,6.47,34.0,1.0,28.0,30.0,0.0,13,5,0,0,W
Cub Swanson,Charles Oliveira,1348272000.0,68.0,145.0,70.0,Orthodox,436579200.0,4.79,51.0,4.0,59.0,1.01,50.0,63.0,0.4,30,14,0,0,70.0,155.0,74.0,Orthodox,624585600.0,3.4,55.0,3.21,49.0,2.25,40.0,56.0,2.7,35,10,0,1,W
Igor Pokrajac,Vinny Magalhaes,1348272000.0,72.0,205.0,74.0,Orthodox,284083200.0,2.25,45.0,4.26,40.0,0.87,29.0,51.0,0.2,28,13,0,1,75.0,205.0,75.0,Orthodox,457574400.0,2.14,24.0,3.97,68.0,1.55,44.0,66.0,0.8,14,9,0,1,L
TJ Grant,Evan Dunham,1348272000.0,70.0,155.0,72.0,Orthodox,446601600.0,3.95,54.0,3.21,56.0,1.63,43.0,36.0,0.6,21,5,0,0,70.0,155.0,70.0,Southpaw,377481600.0,5.33,39.0,3.54,61.0,1.82,33.0,79.0,1.0,18,9,1,0,W
Sean Pierson,Lance Benoist,1348272000.0,72.0,170.0,76.0,Southpaw,195264000.0,3.84,39.0,3.73,64.0,0.39,18.0,66.0,0.4,14,6,0,0,71.0,170.0,72.0,Southpaw,588556800.0,3.68,51.0,2.7,56.0,1.5,33.0,61.0,0.0,7,2,0,0,W
Jimy Hettes,Marcus Brimage,1348272000.0,69.0,145.0,71.0,Southpaw,550195200.0,3.47,57.0,3.5,57.0,5.2,44.0,61.0,1.4,11,3,0,0,64.0,135.0,71.0,Southpaw,481593600.0,3.97,35.0,3.64,56.0,0.56,100.0,80.0,0.0,7,7,0,0,L
Seth Baczynski,Simeon Thoresen,1348272000.0,75.0,170.0,75.0,Orthodox,372902400.0,3.08,31.0,3.14,51.0,0.89,16.0,48.0,0.8,20,14,0,0,73.0,170.0,79.0,Orthodox,448070400.0,3.85,43.0,3.85,64.0,1.12,40.0,50.0,1.7,17,6,1,0,W
Mitch Gagnon,Walel Watson,1348272000.0,65.0,135.0,65.0,Southpaw,466214400.0,2.76,46.0,2.21,61.0,1.16,25.0,65.0,1.9,12,5,0,0,71.0,135.0,75.0,Orthodox,458784000.0,2.1,29.0,3.79,43.0,0.0,0.0,61.0,1.4,14,10,0,0,W
Kyle Noke,Charlie Brenneman,1348272000.0,73.0,170.0,76.0,Southpaw,322185600.0,3.23,50.0,2.09,64.0,1.53,54.0,66.0,0.8,22,10,1,0,70.0,155.0,70.0,Orthodox,350524800.0,1.52,56.0,1.55,46.0,4.23,42.0,72.0,0.0,19,8,0,0,W
Jon Jones,Vitor Belfort,1348272000.0,76.0,248.0,84.0,Orthodox,553651200.0,4.38,58.0,2.24,64.0,1.89,45.0,95.0,0.5,28,1,0,1,72.0,185.0,74.0,Southpaw,228700800.0,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6,26,14,0,1,W
Benson Henderson,Frankie Edgar,1344643200.0,69.0,170.0,70.0,Southpaw,437788800.0,2.93,45.0,1.79,63.0,2.4,45.0,63.0,0.8,24,7,0,0,66.0,135.0,68.0,Orthodox,372038400.0,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,23,11,1,0,W
Donald Cerrone,Melvin Guillard,1344643200.0,73.0,155.0,73.0,Orthodox,417744000.0,4.41,46.0,4.48,53.0,1.16,33.0,73.0,1.2,36,17,0,2,69.0,155.0,71.0,Orthodox,417830400.0,2.96,40.0,1.85,66.0,1.3,63.0,61.0,0.2,32,18,2,3,W
Jake Shields,Ed Herman,1344643200.0,72.0,170.0,72.0,Orthodox,284688000.0,2.45,36.0,1.8,56.0,2.83,29.0,35.0,1.2,31,9,1,1,73.0,205.0,77.0,Orthodox,339292800.0,3.31,48.0,3.71,42.0,1.96,47.0,59.0,1.0,27,16,0,1,NC
Yushin Okami,Buddy Roberts,1344643200.0,74.0,170.0,75.0,Southpaw,364521600.0,2.06,38.0,2.25,60.0,1.98,39.0,84.0,0.5,34,12,0,0,74.0,185.0,nan,Orthodox,403660800.0,2.17,34.0,2.08,70.0,0.0,0.0,76.0,0.7,12,3,0,0,W
Justin Lawrence,Max Holloway,1344643200.0,68.0,145.0,67.0,Orthodox,642729600.0,3.84,35.0,2.83,67.0,0.72,28.0,73.0,0.0,10,4,0,0,71.0,145.0,69.0,Orthodox,691804800.0,7.16,47.0,4.76,59.0,0.25,53.0,83.0,0.3,26,8,0,0,L
Dennis Bermudez,Tommy Hayden,1344643200.0,66.0,155.0,66.0,Orthodox,534816000.0,4.42,46.0,3.07,59.0,3.89,40.0,82.0,1.1,17,9,0,0,69.0,145.0,nan,Southpaw,510883200.0,1.48,27.0,2.05,55.0,3.42,33.0,66.0,0.0,11,3,0,0,W
Jared Hamman,Michael Kuiper,1344643200.0,75.0,185.0,75.0,Orthodox,384307200.0,5.15,42.0,3.93,55.0,1.57,46.0,30.0,0.0,14,6,0,0,72.0,185.0,73.0,Orthodox,613180800.0,3.28,54.0,3.62,54.0,2.3,55.0,79.0,0.0,15,5,0,0,L
Ken Stone,Erik Perez,1344643200.0,68.0,135.0,71.0,Southpaw,402883200.0,3.85,49.0,2.9,48.0,1.24,33.0,60.0,0.6,11,4,0,0,68.0,135.0,68.0,Orthodox,627436800.0,3.16,40.0,2.09,66.0,3.16,55.0,69.0,0.2,17,6,0,0,L
Dustin Pague,Chico Camus,1344643200.0,69.0,135.0,74.0,Orthodox,555120000.0,1.65,53.0,2.96,41.0,1.03,44.0,55.0,2.6,12,11,0,0,66.0,125.0,66.0,Orthodox,475545600.0,2.58,41.0,2.46,64.0,0.77,40.0,72.0,0.4,17,7,0,1,L
Nik Lentz,Eiji Mitsuoka,1344643200.0,68.0,145.0,68.0,Orthodox,461203200.0,3.44,47.0,3.25,50.0,3.3,32.0,43.0,1.2,30,12,2,1,67.0,145.0,nan,Southpaw,189302400.0,1.49,49.0,2.26,45.0,2.3,36.0,20.0,1.6,18,9,2,0,W
Lyoto Machida,Ryan Bader,1344038400.0,73.0,185.0,74.0,Southpaw,265334400.0,2.59,53.0,1.57,61.0,1.21,65.0,75.0,0.4,24,8,0,0,74.0,205.0,74.0,Orthodox,423792000.0,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4,23,5,0,0,W
Joe Lauzon,Jamie Varner,1344038400.0,70.0,155.0,71.0,Orthodox,454032000.0,2.84,39.0,5.39,54.0,2.39,45.0,54.0,2.0,28,16,0,0,68.0,155.0,71.0,Orthodox,466387200.0,2.92,34.0,2.55,58.0,3.49,53.0,66.0,0.8,21,11,1,2,W
Mike Swick,DaMarques Johnson,1344038400.0,73.0,170.0,77.0,Orthodox,298598400.0,2.36,37.0,2.29,54.0,1.06,50.0,61.0,0.6,15,6,0,0,73.0,170.0,75.0,Orthodox,394070400.0,2.11,37.0,3.75,51.0,1.18,55.0,19.0,0.7,15,15,0,0,W
Cole Miller,Nam Phan,1344038400.0,73.0,145.0,73.0,Orthodox,451785600.0,3.0,33.0,3.88,59.0,0.6,36.0,38.0,1.8,21,11,0,1,66.0,135.0,70.0,Orthodox,416361600.0,4.52,37.0,6.55,59.0,0.18,18.0,60.0,0.2,21,17,0,0,L
Phil Davis,Wagner Prado,1344038400.0,74.0,205.0,79.0,Orthodox,464918400.0,2.85,34.0,1.33,72.0,2.99,38.0,72.0,0.6,17,4,0,1,72.0,205.0,74.0,Southpaw,536284800.0,1.72,40.0,3.06,50.0,0.0,0.0,22.0,0.0,12,3,0,1,NC
Josh Grispi,Rani Yahya,1344038400.0,71.0,145.0,74.0,Orthodox,592790400.0,1.44,41.0,3.71,50.0,1.97,36.0,16.0,2.2,14,5,0,0,66.0,135.0,67.0,Orthodox,463795200.0,1.71,38.0,2.08,50.0,2.73,30.0,29.0,1.8,28,12,1,1,L
Philip De Fries,Oli Thompson,1344038400.0,77.0,250.0,79.0,Orthodox,514425600.0,2.3,47.0,3.0,37.0,3.29,42.0,100.0,0.6,12,6,0,1,73.0,242.0,75.0,Orthodox,315619200.0,1.66,46.0,5.31,46.0,0.0,0.0,50.0,0.5,17,10,0,0,W
Manvel Gamburyan,Michihiro Omigawa,1344038400.0,65.0,135.0,67.0,Orthodox,358128000.0,2.13,41.0,2.83,55.0,3.26,34.0,69.0,0.7,15,10,0,1,66.0,145.0,68.0,Orthodox,188179200.0,2.01,39.0,3.06,64.0,1.19,36.0,49.0,1.5,17,14,1,0,W
John Moraga,Ulysses Gomez,1344038400.0,66.0,125.0,66.0,Orthodox,448588800.0,2.57,43.0,2.55,56.0,0.62,23.0,44.0,1.1,19,7,0,0,66.0,125.0,nan,Orthodox,422668800.0,2.72,25.0,3.57,68.0,0.0,0.0,0.0,0.0,9,5,0,0,W
Mauricio Rua,Brandon Vera,1344038400.0,73.0,205.0,76.0,Orthodox,375494400.0,3.57,50.0,2.79,54.0,2.01,48.0,49.0,0.7,27,14,1,0,75.0,230.0,78.0,Orthodox,245289600.0,3.03,56.0,2.81,52.0,0.7,53.0,59.0,0.2,15,7,0,1,W
Urijah Faber,Renan Barao,1342828800.0,66.0,135.0,67.0,Orthodox,295488000.0,2.65,40.0,2.59,64.0,1.54,30.0,58.0,0.8,35,11,0,0,66.0,145.0,70.0,Orthodox,539049600.0,3.78,36.0,3.9,57.0,1.49,41.0,91.0,0.5,34,9,0,1,L
Hector Lombard,Tim Boetsch,1342828800.0,69.0,185.0,71.0,Southpaw,255225600.0,3.02,46.0,3.35,53.0,1.69,48.0,77.0,0.5,34,10,1,2,72.0,185.0,74.0,Orthodox,349488000.0,2.93,50.0,2.9,57.0,1.45,34.0,59.0,0.8,21,13,0,0,L
Cheick Kongo,Shawn Jordan,1342828800.0,76.0,240.0,82.0,Orthodox,169516800.0,3.33,56.0,1.28,54.0,2.3,56.0,52.0,0.2,27,10,2,0,72.0,260.0,75.0,Southpaw,467164800.0,2.87,50.0,3.3,47.0,1.97,38.0,76.0,0.1,19,8,0,0,W
Brian Ebersole,James Head,1342828800.0,72.0,170.0,73.0,Southpaw,344131200.0,2.32,49.0,2.14,56.0,1.7,23.0,61.0,0.1,51,18,1,1,73.0,170.0,73.0,Orthodox,445132800.0,2.75,48.0,3.11,49.0,0.41,100.0,66.0,0.8,9,4,0,0,L
Chris Clements,Matthew Riddle,1342828800.0,70.0,170.0,70.0,Orthodox,192672000.0,3.2,49.0,2.37,44.0,0.0,0.0,32.0,0.3,12,6,0,1,73.0,170.0,76.0,Southpaw,506044800.0,3.01,42.0,2.74,54.0,3.51,50.0,89.0,0.5,8,3,0,2,NC
Court McGee,Nick Ring,1342828800.0,71.0,170.0,75.0,Orthodox,471657600.0,4.6,37.0,3.59,61.0,1.87,25.0,69.0,0.5,23,13,0,0,72.0,185.0,74.0,Southpaw,287452800.0,3.52,42.0,3.48,62.0,1.36,36.0,52.0,0.3,14,4,0,0,L
Roland Delorme,Francisco Rivera,1342828800.0,69.0,135.0,71.0,Orthodox,440553600.0,2.28,44.0,4.32,40.0,2.51,34.0,42.0,1.6,9,5,0,1,68.0,135.0,70.0,Orthodox,371347200.0,4.07,41.0,3.16,68.0,1.01,63.0,68.0,0.6,11,7,0,1,NC
Anthony Perosh,Ryan Jimmo,1342828800.0,75.0,205.0,75.0,Orthodox,87091200.0,2.27,43.0,3.77,53.0,2.03,22.0,33.0,1.1,15,10,0,0,73.0,205.0,73.0,Orthodox,375667200.0,3.12,66.0,2.77,46.0,0.45,28.0,87.0,0.0,19,5,0,0,L
Bryan Caraway,Mitch Gagnon,1342828800.0,68.0,135.0,68.0,Orthodox,460425600.0,2.53,34.0,3.61,54.0,2.57,25.0,80.0,0.8,21,9,0,0,65.0,135.0,65.0,Southpaw,466214400.0,2.76,46.0,2.21,61.0,1.16,25.0,65.0,1.9,12,5,0,0,W
Antonio Carvalho,Daniel Pineda,1342828800.0,69.0,145.0,70.0,Orthodox,296870400.0,3.03,29.0,3.62,64.0,0.0,0.0,100.0,0.0,15,6,0,0,67.0,145.0,69.0,Orthodox,492134400.0,2.85,49.0,3.26,45.0,1.42,24.0,54.0,1.5,28,17,0,3,W
Mitch Clarke,Anton Kuivanen,1342828800.0,70.0,155.0,73.0,Orthodox,501638400.0,2.35,34.0,3.27,47.0,0.64,15.0,50.0,0.4,11,5,0,0,68.0,155.0,72.0,Orthodox,452217600.0,2.27,38.0,1.63,67.0,1.2,100.0,71.0,0.4,24,10,0,0,L
Mark Munoz,Chris Weidman,1341964800.0,72.0,185.0,71.0,Orthodox,255830400.0,3.12,51.0,2.26,57.0,3.17,29.0,57.0,0.6,14,6,0,0,74.0,185.0,78.0,Orthodox,456278400.0,3.11,45.0,3.37,51.0,3.27,42.0,72.0,0.8,16,8,0,0,L
James Te Huna,Joey Beltran,1341964800.0,74.0,185.0,75.0,Orthodox,370569600.0,4.04,51.0,2.99,62.0,2.75,37.0,58.0,0.2,16,9,0,0,73.0,185.0,75.0,Orthodox,376617600.0,4.92,36.0,5.27,54.0,0.48,18.0,75.0,0.0,17,14,0,1,W
Aaron Simpson,Kenny Robertson,1341964800.0,72.0,170.0,73.0,Orthodox,143510400.0,3.6,52.0,2.53,56.0,3.78,34.0,83.0,0.5,12,5,0,0,70.0,170.0,74.0,Orthodox,445564800.0,3.72,47.0,3.02,52.0,1.37,26.0,57.0,0.8,15,5,0,0,W
Karlos Vemola,Francis Carmont,1341964800.0,72.0,185.0,75.0,Orthodox,489196800.0,1.67,44.0,2.13,37.0,1.93,25.0,31.0,1.7,17,5,0,0,75.0,205.0,78.0,Orthodox,371606400.0,2.22,42.0,1.64,59.0,1.79,36.0,73.0,0.6,25,12,0,0,L
TJ Dillashaw,Vaughan Lee,1341964800.0,66.0,135.0,67.0,Orthodox,508118400.0,5.09,41.0,3.47,62.0,1.56,30.0,77.0,0.8,18,5,0,0,66.0,125.0,66.0,Orthodox,403488000.0,3.47,47.0,2.07,70.0,0.81,33.0,72.0,1.0,14,13,1,0,W
Rafael Dos Anjos,Anthony Njokuani,1341964800.0,68.0,170.0,70.0,Southpaw,467596800.0,3.48,47.0,3.23,60.0,1.95,35.0,54.0,0.6,32,17,0,0,73.0,155.0,75.0,Orthodox,320716800.0,3.94,46.0,2.41,65.0,0.5,45.0,53.0,0.2,16,12,0,1,W
Damacio Page,Alex Caceres,1341964800.0,66.0,135.0,66.0,Orthodox,402192000.0,2.05,38.0,2.47,51.0,2.63,64.0,23.0,0.9,19,10,0,0,70.0,145.0,73.0,Southpaw,582768000.0,4.21,49.0,3.09,62.0,0.54,68.0,64.0,0.7,21,15,0,1,L
Chris Cariaso,Josh Ferguson,1341964800.0,63.0,125.0,64.0,Southpaw,359769600.0,3.35,43.0,2.23,61.0,1.11,39.0,57.0,0.8,17,8,0,0,65.0,125.0,nan,Orthodox,579484800.0,2.13,43.0,4.18,32.0,0.59,11.0,54.0,0.0,10,5,0,0,W
Rafael Natal,Andrew Craig,1341964800.0,72.0,185.0,77.0,Orthodox,409622400.0,3.1,47.0,2.48,57.0,2.55,34.0,77.0,0.5,21,9,1,0,73.0,170.0,76.0,Orthodox,506131200.0,2.39,40.0,3.01,50.0,0.53,37.0,72.0,0.0,9,4,0,0,L
Marcelo Guimaraes,Dan Stittgen,1341964800.0,72.0,185.0,73.0,Orthodox,425347200.0,4.67,51.0,4.41,62.0,1.99,13.0,0.0,0.0,9,2,1,0,73.0,170.0,nan,Orthodox,343267200.0,2.97,46.0,4.42,37.0,0.78,100.0,100.0,0.0,12,5,0,0,W
Raphael Assuncao,Issei Tamura,1341964800.0,65.0,135.0,66.0,Orthodox,395884800.0,3.22,42.0,2.5,66.0,1.65,39.0,78.0,0.2,28,10,0,0,65.0,135.0,63.0,Orthodox,447897600.0,1.89,53.0,4.58,44.0,0.92,25.0,33.0,0.0,10,8,0,0,W
Anderson Silva,Chael Sonnen,1341619200.0,74.0,185.0,77.0,Southpaw,166665600.0,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8,34,11,0,1,73.0,205.0,73.0,Southpaw,228873600.0,3.08,43.0,1.1,62.0,3.81,59.0,66.0,0.4,29,15,1,0,W
Forrest Griffin,Tito Ortiz,1341619200.0,75.0,205.0,77.0,Orthodox,290390400.0,4.38,36.0,2.81,61.0,1.05,48.0,57.0,0.7,19,7,0,0,75.0,205.0,74.0,Orthodox,159667200.0,2.59,46.0,2.88,60.0,2.47,35.0,54.0,0.6,19,12,1,0,W
Cung Le,Patrick Cote,1341619200.0,69.0,185.0,70.0,Southpaw,75600000.0,4.36,48.0,2.98,66.0,1.37,71.0,88.0,0.3,9,3,0,0,71.0,170.0,75.0,Orthodox,320630400.0,2.81,48.0,3.21,48.0,0.68,20.0,43.0,0.2,23,11,0,0,W
Dong Hyun Kim,Demian Maia,1341619200.0,74.0,170.0,76.0,Southpaw,374803200.0,2.12,49.0,1.89,58.0,2.93,43.0,71.0,0.6,22,4,1,1,73.0,170.0,72.0,Southpaw,247622400.0,1.8,43.0,2.07,63.0,2.49,24.0,61.0,1.0,28,11,0,0,L
Chad Mendes,Cody McKenzie,1341619200.0,66.0,145.0,66.0,Orthodox,483753600.0,2.78,49.0,2.35,67.0,4.13,55.0,100.0,0.3,18,5,0,0,72.0,155.0,72.0,Switch,566611200.0,1.74,34.0,2.5,67.0,2.5,25.0,14.0,2.5,16,10,0,0,W
Ivan Menjivar,Mike Easton,1341619200.0,66.0,145.0,64.0,Orthodox,391564800.0,2.78,37.0,2.76,65.0,0.56,28.0,38.0,1.0,25,12,0,0,66.0,135.0,70.0,Southpaw,443836800.0,3.51,37.0,4.28,61.0,0.75,22.0,66.0,0.0,13,6,0,0,L
Melvin Guillard,Fabricio Camoes,1341619200.0,69.0,155.0,71.0,Orthodox,417830400.0,2.96,40.0,1.85,66.0,1.3,63.0,61.0,0.2,32,18,2,3,70.0,155.0,71.0,Orthodox,283219200.0,1.29,33.0,1.85,61.0,2.34,32.0,20.0,1.5,14,9,1,0,W
Gleison Tibau,Khabib Nurmagomedov,1341619200.0,70.0,155.0,71.0,Southpaw,434332800.0,1.95,31.0,2.51,63.0,4.08,53.0,92.0,0.8,33,14,0,0,70.0,155.0,70.0,Orthodox,590716800.0,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,29,0,0,0,L
John Alessio,Shane Roller,1341619200.0,70.0,155.0,72.0,Orthodox,299980800.0,2.1,39.0,2.91,54.0,1.85,38.0,70.0,1.2,35,17,0,2,70.0,155.0,72.0,Orthodox,300758400.0,2.04,34.0,2.65,60.0,2.46,33.0,42.0,1.9,11,7,0,0,L
Rafaello Oliveira,Yoislandy Izquierdo,1341619200.0,68.0,155.0,71.0,Orthodox,380851200.0,2.19,33.0,3.38,59.0,2.49,36.0,11.0,1.6,17,8,0,0,71.0,155.0,nan,Southpaw,442454400.0,2.93,52.0,1.4,26.0,0.0,0.0,50.0,0.0,10,4,0,0,W
Wanderlei Silva,Rich Franklin,1340409600.0,71.0,205.0,74.0,Orthodox,205200000.0,2.79,40.0,2.19,60.0,0.97,53.0,62.0,0.6,35,13,1,1,73.0,185.0,76.0,Southpaw,150163200.0,4.1,44.0,2.07,62.0,1.31,66.0,63.0,0.7,29,7,0,1,L
Cezar Ferreira,Sergio Moraes,1340409600.0,73.0,185.0,78.0,Southpaw,477273600.0,1.9,42.0,2.44,53.0,2.69,53.0,84.0,0.5,13,8,0,0,72.0,170.0,72.0,Orthodox,396230400.0,2.42,42.0,3.73,59.0,1.2,38.0,75.0,0.4,14,6,1,0,W
Godofredo Pepey,Rony Jason,1340409600.0,67.0,145.0,73.0,Orthodox,552182400.0,2.32,38.0,3.23,47.0,0.37,7.0,35.0,1.5,13,6,0,0,67.0,145.0,73.0,Orthodox,448675200.0,2.04,44.0,3.14,53.0,0.59,30.0,36.0,0.8,14,7,0,1,L
Fabricio Werdum,Mike Russow,1340409600.0,76.0,231.0,77.0,Orthodox,239068800.0,3.59,52.0,2.64,55.0,1.75,31.0,31.0,1.2,24,9,1,0,73.0,255.0,73.0,Orthodox,211248000.0,1.55,47.0,2.9,59.0,4.66,43.0,0.0,0.7,15,3,0,1,W
Iuri Alcantara,Hacran Dias,1340409600.0,69.0,135.0,71.0,Southpaw,334195200.0,2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,35,10,0,1,68.0,155.0,69.0,Orthodox,456192000.0,2.08,41.0,3.31,55.0,2.5,39.0,76.0,0.5,23,6,1,0,L
Anistavio Medeiros,Rodrigo Damm,1340409600.0,66.0,145.0,nan,Orthodox,578448000.0,3.64,44.0,5.0,47.0,0.0,0.0,0.0,0.0,19,10,0,0,67.0,155.0,71.0,Orthodox,318384000.0,3.5,36.0,5.61,57.0,0.44,16.0,80.0,0.3,13,9,0,0,L
Delson Heleno,Francisco Trinaldo,1340409600.0,71.0,185.0,nan,Orthodox,248486400.0,0.69,75.0,4.83,19.0,0.0,0.0,0.0,0.0,29,10,0,0,69.0,170.0,70.0,Southpaw,272764800.0,3.13,45.0,2.67,60.0,0.98,42.0,60.0,0.5,28,9,0,0,L
