Name,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws,NoContests
Phil Baroni,69.0,170.0,72.0,Orthodox,198460800.0,2.77,45.0,3.93,40.0,1.46,47.0,60.0,0.5,15,18,0,0
Dan Barrera,69.0,170.0,,Orthodox,346377600.0,0.8,70.0,1.2,28.0,1.0,8.0,0.0,0.0,3,1,0,0
Peter Barrett,70.0,145.0,73.0,Southpaw,524016000.0,4.18,61.0,4.32,42.0,1.39,22.0,66.0,0.0,11,5,0,0
Marc-Andre Barriault,73.0,185.0,74.0,Orthodox,635299200.0,5.98,47.0,5.58,52.0,0.21,25.0,67.0,0.1,16,9,0,1
Alexandre Barros,69.0,170.0,,Southpaw,217209600.0,0.98,40.0,4.05,36.0,1.84,50.0,100.0,0.0,22,11,0,0
Francimar Barroso,73.0,205.0,75.0,Orthodox,320544000.0,2.77,52.0,3.07,59.0,2.22,24.0,83.0,0.0,19,7,0,1
Pat Barry,71.0,235.0,74.0,Orthodox,300153600.0,2.72,52.0,3.54,59.0,0.0,0.0,76.0,0.2,8,7,0,0
Dean Barry,70.0,170.0,72.0,Orthodox,710121600.0,9.31,40.0,4.66,51.0,0.0,0.0,100.0,0.0,4,2,0,0
Enrique Barzola,67.0,145.0,70.0,Orthodox,609724800.0,3.91,41.0,2.97,68.0,4.2,45.0,66.0,0.3,17,5,2,0
Javid Basharat,69.0,135.0,69.0,Orthodox,810432000.0,5.42,53.0,2.97,62.0,1.7,40.0,85.0,0.2,14,1,0,1
Farid Basharat,68.0,135.0,71.0,Orthodox,870480000.0,4.36,55.0,2.57,59.0,3.97,44.0,80.0,0.5,13,0,0,0
Austin Bashi,66.0,145.0,70.0,Orthodox,1001721600.0,1.94,48.0,2.71,46.0,8.39,39.0,62.0,1.3,13,1,0,0
Stephen Bass,69.0,145.0,,Orthodox,406080000.0,4.87,52.0,5.87,55.0,0.0,0.0,0.0,0.0,11,2,0,0
Shayna Baszler,67.0,135.0,,Orthodox,334540800.0,2.49,30.0,6.36,51.0,0.67,18.0,44.0,1.3,15,11,0,0
Michel Batista,75.0,260.0,,Orthodox,451267200.0,0.0,0.0,4.03,40.0,6.72,50.0,0.0,0.0,4,1,0,1
Bryan Battle,73.0,170.0,77.0,Orthodox,780105600.0,5.12,52.0,4.11,44.0,0.77,17.0,53.0,0.4,13,2,0,1
Alan Baudot,75.0,243.0,79.0,Orthodox,570672000.0,5.36,58.0,4.82,46.0,0.0,0.0,62.0,0.0,8,3,0,2
Mario Bautista,69.0,135.0,69.0,Switch,741484800.0,5.33,47.0,3.91,54.0,1.92,33.0,66.0,0.9,15,2,0,0
Chris Beal,67.0,125.0,69.0,Orthodox,492134400.0,3.45,35.0,3.18,61.0,1.6,58.0,78.0,0.2,10,5,0,0
Ariel Beck,66.0,125.0,66.0,Southpaw,653443200.0,4.44,34.0,4.31,64.0,0.0,0.0,0.0,0.0,4,5,0,0
Johnny Bedford,70.0,135.0,71.0,Orthodox,410659200.0,4.53,50.0,1.75,63.0,1.83,62.0,62.0,0.0,21,13,1,1
Rolando Bedoya,71.0,155.0,74.0,Orthodox,853113600.0,7.29,49.0,6.38,52.0,0.0,0.0,33.0,0.0,14,4,0,0
Azamat Bekoev,72.0,185.0,72.0,Orthodox,820281600.0,6.85,80.0,4.24,45.0,4.89,50.0,0.0,0.0,19,3,0,0
Mirsad Bektic,68.0,145.0,70.0,Orthodox,666662400.0,2.43,41.0,1.8,57.0,3.98,52.0,92.0,0.4,13,4,0,0
Diana Belbita,67.0,115.0,68.0,Orthodox,835747200.0,6.54,42.0,6.55,51.0,0.91,62.0,65.0,0.0,15,9,0,0
Alan Belcher,74.0,185.0,75.0,Orthodox,451612800.0,2.7,41.0,3.1,59.0,0.44,26.0,55.0,0.9,18,8,0,0
Vitor Belfort,72.0,185.0,74.0,Southpaw,228700800.0,1.59,46.0,2.83,50.0,1.02,60.0,53.0,0.6,26,14,0,1
Rodolfo Bellato,75.0,205.0,77.0,Orthodox,823478400.0,6.47,61.0,5.9,44.0,1.09,25.0,100.0,0.5,12,2,0,0
Danilo Belluardo,72.0,155.0,74.0,Southpaw,774748800.0,1.52,61.0,4.79,41.0,3.5,100.0,50.0,0.0,12,5,0,0
